review_id,question_id,field,question_value,requirement,reviewer_id,label,evidence_source,evidence_quote,reason
R876838cbd54e,Q01,population,UX 디자이너,CORE,,,,,
R876838cbd54e,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R876838cbd54e,Q01,outcome,아이디어 다양성,CORE,,,,,
R876838cbd54e,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R41126d9a7f74,Q01,population,UX 디자이너,CORE,,,,,
R41126d9a7f74,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R41126d9a7f74,Q01,outcome,아이디어 다양성,CORE,,,,,
R41126d9a7f74,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Re2c2b96f092f,Q01,population,UX 디자이너,CORE,,,,,
Re2c2b96f092f,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Re2c2b96f092f,Q01,outcome,아이디어 다양성,CORE,,,,,
Re2c2b96f092f,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R914203dc422d,Q01,population,UX 디자이너,CORE,,,,,
R914203dc422d,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R914203dc422d,Q01,outcome,아이디어 다양성,CORE,,,,,
R914203dc422d,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rf002b743d85f,Q01,population,UX 디자이너,CORE,,,,,
Rf002b743d85f,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Rf002b743d85f,Q01,outcome,아이디어 다양성,CORE,,,,,
Rf002b743d85f,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Ra9d9688b542c,Q01,population,UX 디자이너,CORE,,,,,
Ra9d9688b542c,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Ra9d9688b542c,Q01,outcome,아이디어 다양성,CORE,,,,,
Ra9d9688b542c,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R4efd1a7a69d5,Q01,population,UX 디자이너,CORE,,,,,
R4efd1a7a69d5,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R4efd1a7a69d5,Q01,outcome,아이디어 다양성,CORE,,,,,
R4efd1a7a69d5,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rfaaa3dd74eff,Q01,population,UX 디자이너,CORE,,,,,
Rfaaa3dd74eff,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Rfaaa3dd74eff,Q01,outcome,아이디어 다양성,CORE,,,,,
Rfaaa3dd74eff,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R9c9013dc64e6,Q01,population,UX 디자이너,CORE,,,,,
R9c9013dc64e6,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R9c9013dc64e6,Q01,outcome,아이디어 다양성,CORE,,,,,
R9c9013dc64e6,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R4aa17c1d1726,Q01,population,UX 디자이너,CORE,,,,,
R4aa17c1d1726,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R4aa17c1d1726,Q01,outcome,아이디어 다양성,CORE,,,,,
R4aa17c1d1726,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R356f6ee6bade,Q01,population,UX 디자이너,CORE,,,,,
R356f6ee6bade,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R356f6ee6bade,Q01,outcome,아이디어 다양성,CORE,,,,,
R356f6ee6bade,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R742fe1fbd62b,Q01,population,UX 디자이너,CORE,,,,,
R742fe1fbd62b,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R742fe1fbd62b,Q01,outcome,아이디어 다양성,CORE,,,,,
R742fe1fbd62b,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R48db813ed677,Q01,population,UX 디자이너,CORE,,,,,
R48db813ed677,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R48db813ed677,Q01,outcome,아이디어 다양성,CORE,,,,,
R48db813ed677,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R1e7ff000ae26,Q01,population,UX 디자이너,CORE,,,,,
R1e7ff000ae26,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R1e7ff000ae26,Q01,outcome,아이디어 다양성,CORE,,,,,
R1e7ff000ae26,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R83b586f39680,Q01,population,UX 디자이너,CORE,,,,,
R83b586f39680,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R83b586f39680,Q01,outcome,아이디어 다양성,CORE,,,,,
R83b586f39680,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rb791f9eede94,Q01,population,UX 디자이너,CORE,,,,,
Rb791f9eede94,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Rb791f9eede94,Q01,outcome,아이디어 다양성,CORE,,,,,
Rb791f9eede94,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R4e3a44577eff,Q01,population,UX 디자이너,CORE,,,,,
R4e3a44577eff,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R4e3a44577eff,Q01,outcome,아이디어 다양성,CORE,,,,,
R4e3a44577eff,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R048085b36ccf,Q01,population,UX 디자이너,CORE,,,,,
R048085b36ccf,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R048085b36ccf,Q01,outcome,아이디어 다양성,CORE,,,,,
R048085b36ccf,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rde3925a86c27,Q01,population,UX 디자이너,CORE,,,,,
Rde3925a86c27,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Rde3925a86c27,Q01,outcome,아이디어 다양성,CORE,,,,,
Rde3925a86c27,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R340df3b78b2b,Q01,population,UX 디자이너,CORE,,,,,
R340df3b78b2b,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R340df3b78b2b,Q01,outcome,아이디어 다양성,CORE,,,,,
R340df3b78b2b,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rf6115f7e0369,Q01,population,UX 디자이너,CORE,,,,,
Rf6115f7e0369,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Rf6115f7e0369,Q01,outcome,아이디어 다양성,CORE,,,,,
Rf6115f7e0369,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R1ad617036525,Q01,population,UX 디자이너,CORE,,,,,
R1ad617036525,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R1ad617036525,Q01,outcome,아이디어 다양성,CORE,,,,,
R1ad617036525,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R86a1cb5d2444,Q01,population,UX 디자이너,CORE,,,,,
R86a1cb5d2444,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R86a1cb5d2444,Q01,outcome,아이디어 다양성,CORE,,,,,
R86a1cb5d2444,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R1288e88e037d,Q01,population,UX 디자이너,CORE,,,,,
R1288e88e037d,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R1288e88e037d,Q01,outcome,아이디어 다양성,CORE,,,,,
R1288e88e037d,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R20450745970b,Q01,population,UX 디자이너,CORE,,,,,
R20450745970b,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R20450745970b,Q01,outcome,아이디어 다양성,CORE,,,,,
R20450745970b,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R194ab09e0e99,Q01,population,UX 디자이너,CORE,,,,,
R194ab09e0e99,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R194ab09e0e99,Q01,outcome,아이디어 다양성,CORE,,,,,
R194ab09e0e99,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R59bbd234d230,Q01,population,UX 디자이너,CORE,,,,,
R59bbd234d230,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R59bbd234d230,Q01,outcome,아이디어 다양성,CORE,,,,,
R59bbd234d230,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R4afc3d057ae6,Q01,population,UX 디자이너,CORE,,,,,
R4afc3d057ae6,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R4afc3d057ae6,Q01,outcome,아이디어 다양성,CORE,,,,,
R4afc3d057ae6,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R7c1a7c5baf72,Q01,population,UX 디자이너,CORE,,,,,
R7c1a7c5baf72,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R7c1a7c5baf72,Q01,outcome,아이디어 다양성,CORE,,,,,
R7c1a7c5baf72,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R3955bf868164,Q01,population,UX 디자이너,CORE,,,,,
R3955bf868164,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R3955bf868164,Q01,outcome,아이디어 다양성,CORE,,,,,
R3955bf868164,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R7b374250cf40,Q01,population,UX 디자이너,CORE,,,,,
R7b374250cf40,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R7b374250cf40,Q01,outcome,아이디어 다양성,CORE,,,,,
R7b374250cf40,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Raee746a04174,Q01,population,UX 디자이너,CORE,,,,,
Raee746a04174,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Raee746a04174,Q01,outcome,아이디어 다양성,CORE,,,,,
Raee746a04174,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R8055e6695be4,Q01,population,UX 디자이너,CORE,,,,,
R8055e6695be4,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R8055e6695be4,Q01,outcome,아이디어 다양성,CORE,,,,,
R8055e6695be4,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rfa19eeade98a,Q01,population,UX 디자이너,CORE,,,,,
Rfa19eeade98a,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Rfa19eeade98a,Q01,outcome,아이디어 다양성,CORE,,,,,
Rfa19eeade98a,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R38074c6f72a5,Q01,population,UX 디자이너,CORE,,,,,
R38074c6f72a5,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R38074c6f72a5,Q01,outcome,아이디어 다양성,CORE,,,,,
R38074c6f72a5,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R608d03d9bb3b,Q01,population,UX 디자이너,CORE,,,,,
R608d03d9bb3b,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R608d03d9bb3b,Q01,outcome,아이디어 다양성,CORE,,,,,
R608d03d9bb3b,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rb36e116f24df,Q01,population,UX 디자이너,CORE,,,,,
Rb36e116f24df,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Rb36e116f24df,Q01,outcome,아이디어 다양성,CORE,,,,,
Rb36e116f24df,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R542980214c76,Q01,population,UX 디자이너,CORE,,,,,
R542980214c76,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R542980214c76,Q01,outcome,아이디어 다양성,CORE,,,,,
R542980214c76,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R0ecc7507a642,Q01,population,UX 디자이너,CORE,,,,,
R0ecc7507a642,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R0ecc7507a642,Q01,outcome,아이디어 다양성,CORE,,,,,
R0ecc7507a642,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Rc3572f50b53e,Q02,population,UX designers,CORE,,,,,
Rc3572f50b53e,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rc3572f50b53e,Q02,outcome,idea diversity,CORE,,,,,
Rc3572f50b53e,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R51f5166d3d64,Q02,population,UX designers,CORE,,,,,
R51f5166d3d64,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R51f5166d3d64,Q02,outcome,idea diversity,CORE,,,,,
R51f5166d3d64,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R20eea68b13cc,Q02,population,UX designers,CORE,,,,,
R20eea68b13cc,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R20eea68b13cc,Q02,outcome,idea diversity,CORE,,,,,
R20eea68b13cc,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R65e1a2414e83,Q02,population,UX designers,CORE,,,,,
R65e1a2414e83,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R65e1a2414e83,Q02,outcome,idea diversity,CORE,,,,,
R65e1a2414e83,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R209836bf496a,Q02,population,UX designers,CORE,,,,,
R209836bf496a,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R209836bf496a,Q02,outcome,idea diversity,CORE,,,,,
R209836bf496a,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R578ff2b4e21e,Q02,population,UX designers,CORE,,,,,
R578ff2b4e21e,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R578ff2b4e21e,Q02,outcome,idea diversity,CORE,,,,,
R578ff2b4e21e,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R95d84897774a,Q02,population,UX designers,CORE,,,,,
R95d84897774a,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R95d84897774a,Q02,outcome,idea diversity,CORE,,,,,
R95d84897774a,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Rcafe9065cd57,Q02,population,UX designers,CORE,,,,,
Rcafe9065cd57,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rcafe9065cd57,Q02,outcome,idea diversity,CORE,,,,,
Rcafe9065cd57,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R48a8bb5cf4a5,Q02,population,UX designers,CORE,,,,,
R48a8bb5cf4a5,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R48a8bb5cf4a5,Q02,outcome,idea diversity,CORE,,,,,
R48a8bb5cf4a5,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R071108c6d803,Q02,population,UX designers,CORE,,,,,
R071108c6d803,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R071108c6d803,Q02,outcome,idea diversity,CORE,,,,,
R071108c6d803,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R14a332aa5cc8,Q02,population,UX designers,CORE,,,,,
R14a332aa5cc8,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R14a332aa5cc8,Q02,outcome,idea diversity,CORE,,,,,
R14a332aa5cc8,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R3b9a45f01a20,Q02,population,UX designers,CORE,,,,,
R3b9a45f01a20,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R3b9a45f01a20,Q02,outcome,idea diversity,CORE,,,,,
R3b9a45f01a20,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R60cb42b14795,Q02,population,UX designers,CORE,,,,,
R60cb42b14795,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R60cb42b14795,Q02,outcome,idea diversity,CORE,,,,,
R60cb42b14795,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R2c6ee1d8730a,Q02,population,UX designers,CORE,,,,,
R2c6ee1d8730a,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R2c6ee1d8730a,Q02,outcome,idea diversity,CORE,,,,,
R2c6ee1d8730a,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Radfd45687bae,Q02,population,UX designers,CORE,,,,,
Radfd45687bae,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Radfd45687bae,Q02,outcome,idea diversity,CORE,,,,,
Radfd45687bae,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R7d249184425e,Q02,population,UX designers,CORE,,,,,
R7d249184425e,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R7d249184425e,Q02,outcome,idea diversity,CORE,,,,,
R7d249184425e,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Rc47a7bea9162,Q02,population,UX designers,CORE,,,,,
Rc47a7bea9162,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rc47a7bea9162,Q02,outcome,idea diversity,CORE,,,,,
Rc47a7bea9162,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R150d3d687cb1,Q02,population,UX designers,CORE,,,,,
R150d3d687cb1,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R150d3d687cb1,Q02,outcome,idea diversity,CORE,,,,,
R150d3d687cb1,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R34e20e713fc7,Q02,population,UX designers,CORE,,,,,
R34e20e713fc7,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R34e20e713fc7,Q02,outcome,idea diversity,CORE,,,,,
R34e20e713fc7,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R939b1b1e4fcc,Q02,population,UX designers,CORE,,,,,
R939b1b1e4fcc,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R939b1b1e4fcc,Q02,outcome,idea diversity,CORE,,,,,
R939b1b1e4fcc,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Rffd26f1f8747,Q02,population,UX designers,CORE,,,,,
Rffd26f1f8747,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rffd26f1f8747,Q02,outcome,idea diversity,CORE,,,,,
Rffd26f1f8747,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R63101f28a408,Q02,population,UX designers,CORE,,,,,
R63101f28a408,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R63101f28a408,Q02,outcome,idea diversity,CORE,,,,,
R63101f28a408,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R02917dc139c4,Q02,population,UX designers,CORE,,,,,
R02917dc139c4,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R02917dc139c4,Q02,outcome,idea diversity,CORE,,,,,
R02917dc139c4,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Rbcc41c7c30bc,Q02,population,UX designers,CORE,,,,,
Rbcc41c7c30bc,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rbcc41c7c30bc,Q02,outcome,idea diversity,CORE,,,,,
Rbcc41c7c30bc,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R32e5bf06e08a,Q02,population,UX designers,CORE,,,,,
R32e5bf06e08a,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R32e5bf06e08a,Q02,outcome,idea diversity,CORE,,,,,
R32e5bf06e08a,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R7c7297a75206,Q02,population,UX designers,CORE,,,,,
R7c7297a75206,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R7c7297a75206,Q02,outcome,idea diversity,CORE,,,,,
R7c7297a75206,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R74dfe023fe82,Q02,population,UX designers,CORE,,,,,
R74dfe023fe82,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R74dfe023fe82,Q02,outcome,idea diversity,CORE,,,,,
R74dfe023fe82,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R8d0c09f59985,Q02,population,UX designers,CORE,,,,,
R8d0c09f59985,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R8d0c09f59985,Q02,outcome,idea diversity,CORE,,,,,
R8d0c09f59985,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R3b199df56c90,Q02,population,UX designers,CORE,,,,,
R3b199df56c90,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R3b199df56c90,Q02,outcome,idea diversity,CORE,,,,,
R3b199df56c90,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R4b0cc10d7172,Q02,population,UX designers,CORE,,,,,
R4b0cc10d7172,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R4b0cc10d7172,Q02,outcome,idea diversity,CORE,,,,,
R4b0cc10d7172,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Rc1fc01da6d39,Q02,population,UX designers,CORE,,,,,
Rc1fc01da6d39,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rc1fc01da6d39,Q02,outcome,idea diversity,CORE,,,,,
Rc1fc01da6d39,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Rfa8d8b9b8fde,Q02,population,UX designers,CORE,,,,,
Rfa8d8b9b8fde,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rfa8d8b9b8fde,Q02,outcome,idea diversity,CORE,,,,,
Rfa8d8b9b8fde,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
Rd049f4701eb2,Q02,population,UX designers,CORE,,,,,
Rd049f4701eb2,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
Rd049f4701eb2,Q02,outcome,idea diversity,CORE,,,,,
Rd049f4701eb2,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R21ee979574ee,Q02,population,UX designers,CORE,,,,,
R21ee979574ee,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R21ee979574ee,Q02,outcome,idea diversity,CORE,,,,,
R21ee979574ee,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R56604e57bb3a,Q02,population,UX designers,CORE,,,,,
R56604e57bb3a,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R56604e57bb3a,Q02,outcome,idea diversity,CORE,,,,,
R56604e57bb3a,Q02,relation,How does generative AI affect idea diversity among UX designers?,CORE,,,,,
R92f49ecafa62,Q02,population,UX designers,CORE,,,,,
R92f49ecafa62,Q02,intervention_or_phenomenon,generative AI,CORE,,,,,
R92f49ecafa62,Q02,outcome,idea diversity,CORE,,,,,
